forecast_date,horizon_months,actual_supply,baseline_q50,module1_q50,segment
2014-03-01,6,13642635317,13690261845.315804,13649807969.235168,train_fitted_2010_2019
2014-04-01,6,14739015105,14737760136.90294,14758770614.64237,train_fitted_2010_2019
2014-05-01,6,14441958963,14491261179.09611,14474614037.28,train_fitted_2010_2019
2014-06-01,6,14131294655,14112908169.634333,14132677437.923677,train_fitted_2010_2019
2014-07-01,6,14115471456,14064924603.090973,14003086601.864706,train_fitted_2010_2019
2014-08-01,6,15314135510,15129846810.170067,15153668189.894485,train_fitted_2010_2019
2014-09-01,6,15311949482,15319105391.951355,15171402352.002209,train_fitted_2010_2019
2014-10-01,6,16135798066,15691222193.819798,15325609165.410461,train_fitted_2010_2019
2014-11-01,6,13401732288,13415569906.358934,13360998843.319332,train_fitted_2010_2019
2014-12-01,6,14489462174,14454186932.533115,14381834863.485218,train_fitted_2010_2019
2015-01-01,6,13320512109,13325722992.229576,13320164098.229767,train_fitted_2010_2019
2015-02-01,6,12147033380,12244512658.360388,12212039383.527657,train_fitted_2010_2019
2015-03-01,6,13640767734,13670856722.420628,13680344804.245625,train_fitted_2010_2019
2015-04-01,6,13846694397,13838227094.982653,13727728667.861244,train_fitted_2010_2019
2015-05-01,6,13586956224,13885297938.914715,13741400294.881912,train_fitted_2010_2019
2015-06-01,6,13610916537,13633392632.47049,13607325792.094795,train_fitted_2010_2019
2015-07-01,6,14322958353,14328449922.833393,14342312406.30545,train_fitted_2010_2019
2015-08-01,6,13125503297,13177112395.230556,13276753989.851768,train_fitted_2010_2019
2015-09-01,6,13861045488,13850504524.097527,13848946408.814299,train_fitted_2010_2019
2015-10-01,6,13554712255,13550718122.992342,13557012492.569668,train_fitted_2010_2019
2015-11-01,6,11855356229,12025408562.327642,12084877302.466124,train_fitted_2010_2019
2015-12-01,6,13581128076,13606881048.26846,13584326371.584543,train_fitted_2010_2019
2016-01-01,6,12456584762,12548182971.022224,12530241718.742483,train_fitted_2010_2019
2016-02-01,6,12005416664,12026373912.591019,12044200666.654804,train_fitted_2010_2019
2016-03-01,6,15882037156,15312468144.345646,14999517340.70257,train_fitted_2010_2019
2016-04-01,6,14256086284,14326334867.222778,14249697438.247705,train_fitted_2010_2019
2016-05-01,6,14436541054,14500581804.84906,14318373377.552938,train_fitted_2010_2019
2016-06-01,6,15024868444,14944207596.083988,14991110192.416739,train_fitted_2010_2019
